Price,Bedroom,Bathroom,Square feet,Street,City/State
"$628,888",2bd,3ba,"1,566 sqft",8 Keystone Way #2A,"Mount Davidson Manor, San Francisco, CA"
"$698,000",5bd,2ba,862 sqft,88 Garnett Ter,"Bayview, San Francisco, CA"
"$799,000",1bd,2ba,"1,639 sqft",39 Faxon Ave,"Oceanview, San Francisco, CA"
"$499,000",3bd,2ba,"1,725 sqft",201 Harrison St #807,"South Beach, San Francisco, CA"
"$1,950,000",5bd,4ba,"1,271 sqft",141 Stonecrest Dr,"San Francisco State University, San Francisco, CA"
"$12,950,000+",3bd,2ba,916 sqft,2121 Webster St #5,"Pacific Heights, San Francisco, CA"
"$5,650,000",2bd,2ba,"1,530 sqft",850 Steiner St,"Alamo Square, San Francisco, CA"
"$779,000",3bd,6ba,"1,950 sqft",164 Howth St,"Ingleside, San Francisco, CA"
"$828,000",6bd,2ba,"2,960 sqft",610 Holloway Ave,"Ingleside, San Francisco, CA"
"$799,000",2bd,2ba,"2,393 sqft",54 Stoneybrook Ave,"Excelsior, San Francisco, CA"
"$969,399+",3bd,1ba,773 sqft,Plan 3B in The Village at Garden Valley,"Downtown, San Francisco, CA"
"$1,069,000",3bd,2ba,788 sqft,1262 41st Ave,"Outer Sunset, San Francisco, CA"
"$1,189,000",5bd,2ba,"1,096 sqft",166 Putnam St,"Bernal Heights, San Francisco, CA"
"$1,300,000",3bd,6ba,"4,660 sqft",333 Beale St #C3C,"South Beach, San Francisco, CA"
"$1,750,000",1bd,1ba,"1,335 sqft",Address Not Disclosed,"Presidio Heights, San Francisco, CA"
"$870,000",2bd,2ba,"2,635 sqft",26 Sparta St,"Visitacion Valley, San Francisco, CA"
"$1,995,000",2bd,1ba,"1,888 sqft",1475-1477 Jackson St,"Nob Hill, San Francisco, CA"
"$1,688,000",4bd,2ba,"1,275 sqft",1986 18th Ave,"Inner Parkside, San Francisco, CA"
"$799,000",2bd,2ba,"1,087 sqft",88 Guy Pl #204,"South Beach, San Francisco, CA"
"$899,000",3bd,2ba,"1,351 sqft",557 Fillmore St #4,"Hayes Valley, San Francisco, CA"
"$799,000",4bd,2ba,"1,554 sqft",1786 43rd Ave,"Outer Sunset, San Francisco, CA"
"$1,295,000",2bd,1ba,"1,352 sqft",2677 Harrison St,"Mission, San Francisco, CA"
"$2,395,000",4bd,1ba,960 sqft,985 Greenwich St,"Russian Hill, San Francisco, CA"
"$861,216+",5bd,2ba,816 sqft,Plan 2A in The Village at Garden Valley,"Downtown, San Francisco, CA"
"$850,000",3bd,2ba,"2,900 sqft",184 Marietta Dr,"Miraloma, San Francisco, CA"
"$3,100,000",4bd,2ba,"1,820 sqft",2255 Clay St,"Pacific Heights, San Francisco, CA"
"$899,000",1bd,3ba,"1,275 sqft",151 Lobos St,"Oceanview, San Francisco, CA"
"$749,000",2bd,2ba,"1,622 sqft",31 Grafton Ave,"Ingleside, San Francisco, CA"
"$749,000",4bd,3ba,"1,410 sqft",194 Gaven St,"Portola, San Francisco, CA"
"$1,995,000",2bd,2ba,"1,620 sqft",4030 22nd St,"Noe Valley, San Francisco, CA"
"$1,350,000",2bd,5ba,"2,966 sqft",1776 Sacramento St #409,"Nob Hill, San Francisco, CA"
"$1,295,000",3bd,4ba,"1,110 sqft",491 Ulloa St,"Forest Hill Extension, San Francisco, CA"
"$795,000",3bd,4ba,"1,700 sqft",501 Crescent Ave,"Bernal Heights, San Francisco, CA"
"$695,000",3bd,1ba,"3,905 sqft",1862 Ellis St #C,"Western Addition, San Francisco, CA"
"$2,950,000",2bd,2ba,"6,837 sqft",249 Page St,"Hayes Valley, San Francisco, CA"
"$2,995,000",2bd,4ba,"1,775 sqft",3225 24th St,"Mission, San Francisco, CA"
"$969,000",3bd,1ba,"2,525 sqft",4616 Irving St,"Outer Sunset, San Francisco, CA"
"$1,149,000",2bd,2ba,488 sqft,638 Minna St #8,"SoMa, San Francisco, CA"
"$1,295,000",1bd,3ba,945 sqft,101 Franconia St,"Bernal Heights, San Francisco, CA"
"$1,095,000",1bd,2ba,"1,912 sqft",2555 Diamond St,"Glen Park, San Francisco, CA"
"$1,395,000",2bd,2ba,"5,420 sqft",1960 Hayes St #1,"Northern Park, San Francisco, CA"
"$1,998,000",1bd,2ba,"1,087 sqft",867 Foerster St,"Miraloma, San Francisco, CA"
"$1,550,000",1bd,2ba,"1,750 sqft",450 Hayes St #1E,"Hayes Valley, San Francisco, CA"
"$1,650,000",1bd,2ba,"1,875 sqft",1940 Sacramento St #6,"Pacific Heights, San Francisco, CA"
"$3,500,000",2bd,2ba,"1,950 sqft",836 Bay St,"Russian Hill, San Francisco, CA"
"$3,375,000",2bd,1ba,"2,032 sqft",1710 Larkin St,"Nob Hill, San Francisco, CA"
"$1,095,000",1bd,2ba,"1,795 sqft",1351 32nd Ave,"Central Sunset, San Francisco, CA"
Contact For Estimate,2bd,1ba,"1,501 sqft",1145 Phelps St,"Bayview, San Francisco, CA"
"$549,000",1bd,1ba,"1,421 sqft",1883 Vallejo St #6,"Pacific Heights, San Francisco, CA"
"$995,000",5bd,1ba,"1,320 sqft",2476 Diamond St,"Glen Park, San Francisco, CA"
"$1,220,000+",3bd,1ba,"1,976 sqft",1300 22nd St #302,"Potrero Hill, San Francisco, CA"
"$1,598,000",1bd,2ba,"1,253 sqft",2654 17th Ave,"Inner Parkside, San Francisco, CA"
"$8,995,000",1bd,1ba,"1,200 sqft",465 Marina Blvd,"Marina, San Francisco, CA"
"$799,999",2bd,1ba,"1,755 sqft",91 Lobos St,"Oceanview, San Francisco, CA"
"$1,195,000",2bd,1ba,834 sqft,150 Hearst Ave,"Sunnyside, San Francisco, CA"
"$1,100,000",3bd,1ba,"2,255 sqft",2089 Ingalls St #1,"Bayview, San Francisco, CA"
"$1,998,000",4bd,3ba,"1,875 sqft",108 Palm Ave,"Laurel Heights, San Francisco, CA"
"$838,888",3bd,3ba,"10,638 sqft",1573 Quesada Ave,"Bayview, San Francisco, CA"
"$1,998,000",6bd,1ba,"14,150 sqft",4177 Cesar Chavez St,"Noe Valley, San Francisco, CA"
"$1,485,000",3bd,1ba,"4,540 sqft",2090 Pacific Ave #702,"Pacific Heights, San Francisco, CA"
"$1,249,000",1bd,1ba,"3,082 sqft",1829 8th Ave,"Inner Sunset, San Francisco, CA"
"$1,098,000",2bd,2ba,"4,418 sqft",139 Henry St,"Duboce Triangle, San Francisco, CA"
"$1,595,000",3bd,2ba,"1,723 sqft",911 Central Ave,"Northern Park, San Francisco, CA"
"$859,000",3bd,3ba,707 sqft,114 Congo St,"Sunnyside, San Francisco, CA"
"$1,099,000",1bd,3ba,"1,367 sqft",66 Cleary Ct #1208,"Western Addition, San Francisco, CA"
"$1,295,000",2bd,3ba,"5,936 sqft",828 42nd Ave,"Outer Richmond, San Francisco, CA"
"$1,095,000+",2bd,6ba,"2,045 sqft",1300 22nd St #200,"Potrero Hill, San Francisco, CA"
"$1,799,000",2bd,2ba,"2,880 sqft",514 Shrader St #16,"Haight, San Francisco, CA"
"$999,000",2bd,2ba,"1,235 sqft",2089 Ingalls St #3,"Bayview, San Francisco, CA"
"$5,992,000",2bd,3ba,"1,484 sqft",1051 Post St,"Civic Center, San Francisco, CA"
"$7,950,000",4bd,2ba,"1,050 sqft",3280 17th St,"Mission, San Francisco, CA"
"$4,495,000",3bd,2ba,"1,264 sqft",2334 Pine St,"Lower Pacific Heights, San Francisco, CA"
"$3,199,000",3bd,1ba,"1,185 sqft",175 Ripley St,"Bernal Heights, San Francisco, CA"
"$2,800,000",4bd,1ba,"1,312 sqft",3749 Clement St,"Outer Richmond, San Francisco, CA"
"$1,199,000",2bd,1ba,"1,559 sqft",321 Judah St,"Inner Sunset, San Francisco, CA"
"$957,000",2bd,1ba,"1,130 sqft",401 Harrison St #13E,"South Beach, San Francisco, CA"
"$1,775,000+",2bd,2ba,1 sqft,201 Folsom St #17E,"South Beach, San Francisco, CA"
"$2,950,000",1bd,2ba,742 sqft,726 Fillmore St,"Alamo Square, San Francisco, CA"
"$1,288,000",1bd,3ba,905 sqft,2023 43rd Ave,"Outer Sunset, San Francisco, CA"
"$1,989,000",1bd,3ba,611 sqft,1294-1298 Guerrero St,"Noe Valley, San Francisco, CA"
"$875,000",2bd,4ba,551 sqft,302 Coleridge St,"Bernal Heights, San Francisco, CA"
"$1,698,000",2bd,4ba,670 sqft,16 Jessie St #303,"South Beach, San Francisco, CA"
"$1,699,000",3bd,2ba,"1,350 sqft",214 Twin Peaks Blvd,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$789,000",1bd,3ba,800 sqft,1522 Thomas Ave,"Bayview, San Francisco, CA"
"$1,295,000",4bd,2ba,659 sqft,150 Lexington St #1,"Mission Dolores, San Francisco, CA"
"$1,295,000",2bd,1ba,850 sqft,1404 Noe St,"Noe Valley, San Francisco, CA"
"$998,000",3bd,2ba,530 sqft,1932 Ortega St,"Central Sunset, San Francisco, CA"
"$1,288,000",3bd,1ba,"2,030 sqft",2402 Balboa St,"Central Richmond, San Francisco, CA"
"$1,199,000",2bd,2ba,586 sqft,1828 Page St,"Panhandle, San Francisco, CA"
"$1,049,000",3bd,1ba,435 sqft,340 Ritch St #5,"Mission Bay, San Francisco, CA"
"$869,000",4bd,3ba,787 sqft,855 Folsom St #341,"SoMa, San Francisco, CA"
"$985,000",3bd,2ba,900 sqft,832 Alabama St #B,"Mission, San Francisco, CA"
"$580,000+",5bd,3ba,"1,650 sqft",50 Jerrold Ave. Unit #308 Plan in The San Francisco Shipyard : Alma and Engel,"Hunters Point, San Francisco, CA"
"$769,000+",7bd,2ba,"1,554 sqft",505 Plan in La Maison Soma,"SoMa, San Francisco, CA"
"$635,000+",3bd,1ba,"2,220 sqft",51 Innes Ct. #303 Plan in The San Francisco Shipyard : Monarch,"Hunters Point, San Francisco, CA"
"$1,140,000",4bd,1ba,"4,572 sqft",2450 30th Ave,"Central Sunset, San Francisco, CA"
"$729,000",3bd,1ba,"2,480 sqft",1979 35th Ave,"Central Sunset, San Francisco, CA"
"$813,000+",4bd,4ba,"3,647 sqft",338 Potrero Ave #507,"Potrero Hill, San Francisco, CA"
"$825,000",2bd,4ba,"2,070 sqft",94 W View Ave,"Portola, San Francisco, CA"
"$675,000",3bd,4ba,"2,422 sqft",991 14th St,"Duboce Triangle, San Francisco, CA"
"$1,799,000",2bd,2ba,"4,150 sqft",128 Woodland Ave,"Forest Knolls, San Francisco, CA"
"$1,288,000",4bd,7ba,"2,639 sqft",2226 29th Ave,"Central Sunset, San Francisco, CA"
"$635,000",2bd,3ba,"2,100 sqft",240 Lombard St #526,"Fisherman's Wharf, San Francisco, CA"
"$559,000",3bd,3ba,"6,650 sqft",570 Sanchez St,"Castro, San Francisco, CA"
"$850,000",3bd,1ba,"16,140 sqft",250 King St #908,"Mission Bay, San Francisco, CA"
"$1,150,000",3bd,4ba,928 sqft,219 Brannan St #1B,"South Beach, San Francisco, CA"
"$1,050,000",2bd,2ba,"1,361 sqft",1851 35th Ave,"Central Sunset, San Francisco, CA"
"$699,000",4bd,3ba,"1,663 sqft",11 Garnett Ter,"Bayview, San Francisco, CA"
"$1,295,000",5bd,1ba,"3,350 sqft",90 Dellbrook Ave,"Midtown Terrace, San Francisco, CA"
"$1,395,000",5bd,3ba,"1,700 sqft",1665 17th Ave,"Inner Sunset, San Francisco, CA"
"$2,250,000",6bd,1ba,"4,565 sqft",829-831 Oak St,"Hayes Valley, San Francisco, CA"
"$1,960,000",3bd,4ba,806 sqft,226-228 18th Ave,"Central Richmond, San Francisco, CA"
"$3,795,000",3bd,1ba,700 sqft,1785-1787 Broadway,"Pacific Heights, San Francisco, CA"
